test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_17032_01,User can search for a bus or line using the search bar,TransitApp,17032,menu,P1,Functional,,Taraval,Click on the search bar labeled 'Find a bus or line'. | Type 'Taraval' into the search bar. | Press the Enter key to perform the search.,The search results should display the 'Taraval' line information.
TC_17032_02,User can navigate to the 'All Lines' section,TransitApp,17032,menu,P1,Functional,,,Click on the 'All Lines' button.,The screen should navigate to the 'All Lines' section displaying a list of all available transit lines.
TC_17032_03,User can access service information for a specific line,TransitApp,17032,menu,P1,Functional,,,Click on the 'i' icon next to the 'Taraval' line.,The screen should display detailed service information for the 'Taraval' line.
TC_17032_04,User can navigate to the 'Maps' section,TransitApp,17032,menu,P1,Functional,,,Click on the 'MAPS' section.,The screen should navigate to the 'Maps' section displaying the Muni Metro map.
TC_17032_05,User can set a destination using the 'SET' button,TransitApp,17032,menu,P1,Functional,,,Click on the 'SET' button on the header.,The screen should prompt the user to set a destination for navigation.
TC_17032_06,User can clear the search bar,TransitApp,17032,menu,P1,Functional,,Taraval,Type 'Taraval' into the search bar. | Click on the 'X' icon next to the search bar to clear the text.,The search bar should be cleared of any text.
TC_17032_07,User can navigate back to the previous screen,TransitApp,17032,menu,P1,Functional,,,Navigate to the 'All Lines' section. | Press the back button on the device.,The screen should navigate back to the previous screen displaying the 'Lines' section.
TC_17032_08,User can perform a search with an invalid input,TransitApp,17032,menu,P2,Negative,,invalid,Click on the search bar labeled 'Find a bus or line'. | Type 'invalid' into the search bar. | Press the Enter key to perform the search.,The search results should display an error message indicating that the input is invalid.
TC_17032_09,User can navigate to the 'MAPS' section with an empty search bar,TransitApp,17032,menu,P2,Functional,,,Click on the 'MAPS' section.,The screen should navigate to the 'Maps' section displaying the Muni Metro map.
TC_17032_10,User can navigate to the 'All Lines' section with an empty search bar,TransitApp,17032,menu,P2,Functional,,,Click on the 'All Lines' button.,The screen should navigate to the 'All Lines' section displaying a list of all available transit lines.
