test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_1709_001,Positive flow: Navigating to NCAAB news feed,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the NCAAB tab in the navigation bar.,The screen should display the NCAAB news feed.
TC_1709_002,Negative flow: Navigating to an invalid tab,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the MLB tab in the navigation bar.,The screen should display the MLB news feed.
TC_1709_003,Positive flow: Clicking on a news item,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the NCAAB tab in the navigation bar. | Tap on the first news item in the list.,The app should navigate to the detailed view of the selected news item.
TC_1709_004,Negative flow: Clicking on an invalid news item,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the NCAAB tab in the navigation bar. | Tap on the last news item in the list.,The screen should display the NCAAB news feed.
TC_1709_005,Positive flow: Toggling the hamburger menu,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the hamburger menu icon in the header.,"The hamburger menu should open, displaying navigation options."
TC_1709_006,Negative flow: Toggling the hamburger menu when already open,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the hamburger menu icon in the header. | Tap on the hamburger menu icon again.,The hamburger menu should remain open.
TC_1709_007,Positive flow: Using the search icon,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the search icon in the header.,The search interface should be displayed.
TC_1709_008,Negative flow: Using the search icon when already open,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the search icon in the header. | Tap on the search icon again.,The search interface should remain open.
TC_1709_009,Positive flow: Navigating to a different tab,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the NCAAB tab in the navigation bar. | Tap on the NBA tab in the navigation bar.,The screen should display the NBA news feed.
TC_1709_010,Negative flow: Navigating to an invalid tab,Sports App,1709,list,P1,Functional,,,Open the app. | Tap on the NCAAB tab in the navigation bar. | Tap on the MLB tab in the navigation bar.,The screen should display the MLB news feed.
