test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_12504_01,User can navigate back to the previous screen,eCommerce,12504,tutorial,P1,Functional,,,Click on the back arrow icon in the header.,The user is redirected to the previous screen.
TC_12504_02,User can view the shopping cart,eCommerce,12504,tutorial,P1,Functional,,,Click on the shopping cart icon in the header.,The user is redirected to the shopping cart screen.
TC_12504_03,User can view the details of the Essentials Bundle,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the details of the Essentials Bundle.,"The user can see the image of personal care products, the text 'Essentials Bundle', the price '$35.95/month', and the subtitle explaining the subscription details."
TC_12504_04,User can view the 'MIX AND MATCH' section,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the 'MIX AND MATCH' section.,The user can see the text 'MIX AND MATCH' indicating the flexibility of selecting products.
TC_12504_05,User can view the phone number for cancellations,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the phone number for cancellations.,The user can see the phone number provided for cancellations.
TC_12504_06,User can view the price of the Essentials Bundle,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the price '$35.95/month'.,The user can see the price '$35.95/month' displayed.
TC_12504_07,User can view the image of personal care products,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the image of personal care products.,The user can see the image of personal care products arranged on a yellow background.
TC_12504_08,User can view the text 'Essentials Bundle',eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the text 'Essentials Bundle'.,The user can see the text 'Essentials Bundle' displayed.
TC_12504_09,User can view the subtitle explaining the subscription details,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the subtitle explaining the subscription details.,The user can see the subtitle explaining the subscription details.
TC_12504_10,User can view the 'MIX AND MATCH' section,eCommerce,12504,tutorial,P1,Functional,,,Scroll down to view the 'MIX AND MATCH' section.,The user can see the text 'MIX AND MATCH' indicating the flexibility of selecting products.
