test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_16766_01,Open the app and navigate to the 'Capture Your Progress' screen,HealthApp,16766,other,P1,Functional,The app is installed and running,,Open the app | Navigate to the 'Capture Your Progress' screen,The 'Capture Your Progress' screen is displayed
TC_16766_02,Click on the menu icon in the header,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the menu icon in the header | Verify that the menu options are displayed,The menu options are displayed
TC_16766_03,Click on the help icon in the header,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the help icon in the header | Verify that the help information is displayed,The help information is displayed
TC_16766_04,Click on the 'Before' section,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'Before' section | Verify that the 'Before' section is selected,The 'Before' section is selected
TC_16766_05,Click on the 'After' section,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'After' section | Verify that the 'After' section is selected,The 'After' section is selected
TC_16766_06,Click on the 'Old You' label,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'Old You' label | Verify that the 'Old You' label is selected,The 'Old You' label is selected
TC_16766_07,Click on the 'New You' label,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'New You' label | Verify that the 'New You' label is selected,The 'New You' label is selected
TC_16766_08,Click on the 'Old You' image,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'Old You' image | Verify that the 'Old You' image is selected,The 'Old You' image is selected
TC_16766_09,Click on the 'New You' image,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'New You' image | Verify that the 'New You' image is selected,The 'New You' image is selected
TC_16766_10,Click on the 'Old You' and 'New You' labels simultaneously,HealthApp,16766,other,P2,Functional,The 'Capture Your Progress' screen is displayed,,Click on the 'Old You' label | Click on the 'New You' label | Verify that both labels are selected,Both labels are selected
