test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_14946_001,Open the app and navigate to the dresses product listing page,ShoppingApp,14946,gallery,P0,Functional,The app is installed and running,,Open the ShoppingApp | Navigate to the dresses product listing page,The dresses product listing page is displayed with a grid of dress options
TC_14946_002,Click on the 'Relevance' filter option,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Relevance,Click on the 'Relevance' filter option,The dress listings are sorted by relevance
TC_14946_003,Click on the 'Popular' filter option,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Popular,Click on the 'Popular' filter option,The dress listings are sorted by popularity
TC_14946_004,Click on the 'Price' filter option,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Price,Click on the 'Price' filter option,The dress listings are sorted by price
TC_14946_005,Click on the 'New' filter option,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,New,Click on the 'New' filter option,The dress listings are sorted by newness
TC_14946_006,Click on a dress image to view the product details,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Any dress image,Click on a dress image,The product details page for the selected dress is displayed
TC_14946_007,Search for a dress using the search icon,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Any dress name,Click on the search icon | Enter a dress name in the search bar | Press enter,The search results for the entered dress name are displayed
TC_14946_008,Click on a dress price to view the product details,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Any dress price,Click on a dress price,The product details page for the selected dress is displayed
TC_14946_009,Click on a dress engagement metric to view the product details,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,Any dress engagement metric,Click on a dress engagement metric,The product details page for the selected dress is displayed
TC_14946_010,Click on the back arrow to return to the previous screen,ShoppingApp,14946,gallery,P1,Functional,The dresses product listing page is displayed,,Click on the back arrow,The previous screen is displayed
