test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_18731_001,Open the app and navigate to the French phrases section,Language Learning App,18731,gallery,P0,Functional,The app is installed and running,,Open the Language Learning App | Navigate to the French phrases section,The French phrases section is displayed
TC_18731_002,Search for a specific phrase,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,traffic lights,Click on the search icon in the header | Enter 'traffic lights' in the search bar | Press the search button,The search results for 'traffic lights' are displayed
TC_18731_003,Select a category,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,Common,Click on the 'Common' category in the list rows,The 'Common' category is selected and displayed
TC_18731_004,Click on a suggestion,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,feux,Click on the 'feux' suggestion in the 'Suggestion' section,The details for 'feux' are displayed
TC_18731_005,Click on a list row,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,Emergency,Click on the 'Emergency' category in the list rows,The 'Emergency' category is selected and displayed
TC_18731_006,Click on the menu icon,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,,Click on the menu icon in the header,The menu is opened and displayed
TC_18731_007,Click on the favorites icon,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,,Click on the favorites icon in the header,The favorites section is opened and displayed
TC_18731_008,Click on the settings icon,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,,Click on the settings icon in the header,The settings menu is opened and displayed
TC_18731_009,Click on a checkbox,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,Common,Click on the checkbox next to the 'Common' category in the list rows,The checkbox for 'Common' is toggled
TC_18731_010,Click on a toggle button,Language Learning App,18731,gallery,P1,Functional,The app is open and on the French phrases section,Common,Click on the toggle button next to the 'Common' category in the list rows,The toggle button for 'Common' is toggled
